day,month,year,category,number of vehicles,number of sites
17,3,2020,4,43,1
17,3,2020,5,57,1
17,3,2020,6,179,1
17,3,2020,7,17,1
16,3,2020,1,31,1
16,3,2020,2,6710,1
16,3,2020,3,1090,1
16,3,2020,4,73,1
16,3,2020,5,211,1
16,3,2020,6,402,1
16,3,2020,7,39,1
15,3,2020,1,31,1
15,3,2020,2,5202,1
15,3,2020,3,309,1
15,3,2020,4,53,1
15,3,2020,5,33,1
15,3,2020,6,61,1
15,3,2020,7,19,1
14,3,2020,1,18,1
14,3,2020,2,6140,1
14,3,2020,3,561,1
14,3,2020,4,68,1
14,3,2020,5,102,1
14,3,2020,6,160,1
14,3,2020,7,20,1
13,3,2020,1,28,1
13,3,2020,2,8459,1
13,3,2020,3,1250,1
13,3,2020,4,92,1
13,3,2020,5,267,1
13,3,2020,6,393,1
13,3,2020,7,40,1
12,3,2020,1,34,1
12,3,2020,2,9748,1
12,3,2020,3,1405,1
